Country,Clicks,Impressions,CTR,Position
Hong Kong,51,7030,0.73%,52.17
Taiwan,5,253,1.98%,10.38
Canada,2,86,2.33%,7.13
Australia,2,67,2.99%,7.67
Vietnam,1,49,2.04%,11.88
Singapore,1,25,4%,9.04
United States,0,563,0%,10.64
United Kingdom,0,69,0%,8.43
China,0,57,0%,10.42
Brazil,0,36,0%,9.64
Macau,0,32,0%,7.06
Malaysia,0,31,0%,7.81
India,0,29,0%,11.86
Japan,0,26,0%,10.38
Germany,0,19,0%,27.32
Philippines,0,18,0%,9.11
Bangladesh,0,16,0%,11.69
Spain,0,15,0%,11.8
France,0,14,0%,5.71
New Zealand,0,13,0%,10.77
Thailand,0,12,0%,7.92
Mexico,0,11,0%,11.09
Indonesia,0,10,0%,10
South Korea,0,9,0%,5.67
Russia,0,9,0%,9
Argentina,0,9,0%,9.11
Iraq,0,9,0%,13.56
South Africa,0,9,0%,14.33
Pakistan,0,8,0%,11.12
Italy,0,7,0%,11.43
Netherlands,0,7,0%,11.43
Ukraine,0,7,0%,11.71
Uzbekistan,0,6,0%,8.83
Poland,0,6,0%,9
Peru,0,6,0%,10
Turkey,0,5,0%,5.8
Panama,0,5,0%,7
Sweden,0,5,0%,7.8
Belgium,0,5,0%,9.2
Iran,0,5,0%,10.4
Morocco,0,5,0%,11.2
Saudi Arabia,0,5,0%,11.2
Colombia,0,5,0%,24.6
Portugal,0,4,0%,5.75
Jamaica,0,4,0%,7
Jordan,0,3,0%,3.67
Lebanon,0,3,0%,7.33
Chile,0,3,0%,10.67
Nepal,0,3,0%,11
Bolivia,0,3,0%,11.33
Uruguay,0,3,0%,35
Czechia,0,2,0%,2.5
Finland,0,2,0%,3.5
Egypt,0,2,0%,6
Paraguay,0,2,0%,6
Oman,0,2,0%,7.5
Greece,0,2,0%,8
Qatar,0,2,0%,13.5
Venezuela,0,2,0%,15.5
Senegal,0,2,0%,17.5
United Arab Emirates,0,2,0%,18.5
Romania,0,2,0%,21
Kenya,0,1,0%,1
Macedonia,0,1,0%,1
Lithuania,0,1,0%,2
Côte d’Ivoire,0,1,0%,3
Congo - Kinshasa,0,1,0%,3
Ecuador,0,1,0%,3
Kazakhstan,0,1,0%,3
Kuwait,0,1,0%,3
Angola,0,1,0%,4
Sri Lanka,0,1,0%,4
Palestine,0,1,0%,4
Denmark,0,1,0%,5
Nicaragua,0,1,0%,5
Bahamas,0,1,0%,8
Switzerland,0,1,0%,8
Azerbaijan,0,1,0%,9
Slovakia,0,1,0%,9
Norway,0,1,0%,10
Algeria,0,1,0%,11
Nigeria,0,1,0%,11
El Salvador,0,1,0%,16
Uganda,0,1,0%,18
Barbados,0,1,0%,20
Mali,0,1,0%,29
Israel,0,1,0%,30
Austria,0,1,0%,36
