Top pages,Clicks,Impressions,CTR,Position
https://www.clean.com.hk/blog-post-bathroom-cleaning.html,23,1681,1.37%,10.44
https://www.clean.com.hk/,11,278,3.96%,13.99
https://www.clean.com.hk/testimonials.html,9,113,7.96%,6.28
https://www.clean.com.hk/services.html,5,993,0.5%,43.24
https://www.clean.com.hk/office-deep-cleaning.html,3,3059,0.1%,71.29
https://www.clean.com.hk/contact.html,3,71,4.23%,10.97
https://www.clean.com.hk/machine-floor-cleaning.html,2,248,0.81%,45.81
https://www.clean.com.hk/carpet-cleaning-service.html,2,95,2.11%,25.56
https://www.clean.com.hk/blog-post-carpet-care.html,1,948,0.11%,52.11
https://www.clean.com.hk/blog-post-disinfection-guide.html,1,546,0.18%,25
https://www.clean.com.hk/blog-post-kitchen-cleaning.html,1,464,0.22%,13.52
https://www.clean.com.hk/carpet-cleaning-pillar.html,1,175,0.57%,56.43
https://www.clean.com.hk/carpet_cleaning_game.html,1,52,1.92%,8.1
https://www.clean.com.hk/blog-post-cleaning-blind-spots.html,1,14,7.14%,9.36
https://www.clean.com.hk/blog-post-renovation-cleaning.html,0,144,0%,66.94
https://www.clean.com.hk/blog-post-bathroom-cleaning.html#five-areas,0,80,0%,6.9
https://www.clean.com.hk/blog-post-bathroom-cleaning.html#freq,0,80,0%,6.9
https://www.clean.com.hk/blog-post-bathroom-cleaning.html#intro,0,80,0%,6.9
https://www.clean.com.hk/blog-post-bathroom-cleaning.html#products,0,80,0%,6.9
https://www.clean.com.hk/blog-post-hsr-mosquito-alert.html,0,41,0%,8.44
https://www.clean.com.hk/ls-cleaning-landing.html,0,29,0%,8.69
https://www.clean.com.hk/faq.html,0,27,0%,9.37
https://www.clean.com.hk/blog-post-humidity-dangers.html,0,23,0%,8.57
https://www.clean.com.hk/blog.html,0,12,0%,6.92
https://www.clean.com.hk/sitemap-page.html,0,9,0%,5.22
